	1	Goods	App	Delivery	Payment	CS	Price	Marketing	AD
0	이걸 이제 알아서 쓰다니… ㅠㅠ 지난날의 쇼핑이 생각나네요	0	0	0	0	0	0	0	0
1	쿠폰을 자주 줘서 자주 구매 합니다	1	0	0	0	0	0	1	0
2	앞으로 더 신경써서 관리 해주세요 고맙습니다~	0	0	0	0	1	0	0	0
3	항상 좋게 사용 하고 있습니다~	1	0	0	0	0	0	0	0
4	지름신 접선!!!	0	0	0	0	0	0	0	0
5	좋은 상품을 믿고 구매 할 수 있는듯 합니다! 항상 고맙습니다	1	0	0	0	0	0	0	0
6	편리하고 너무 좋아요 최곱니다	0	0	0	0	0	0	0	0
7	너무 좋아요!!!!	0	0	0	0	0	0	0	0
8	사용하기 편하게 잘 만들엇어요	1	0	0	0	0	0	0	0
9	오늘도 구매 했습니다..하하	1	0	0	0	0	0	0	0
10	이번에 구매 하려고 어플 설치 하고 리뷰도 남겨 봅니다~	1	1	0	0	0	0	0	0
11	유용합니다	0	0	0	0	0	0	0	0
12	이번에 친구선물을 롯데온에서 싸게 샀어요!! 완전 강추강추 합니다~	0	0	0	0	0	0	0	0
13	다양해서 좋습니다	1	0	0	0	0	0	0	0
14	연결하기 어려움 이따위로하려면 광고하지 마삼	0	1	0	0	0	0	0	1
15	다양한 상품이 존재 하는 어플!	1	0	0	0	0	0	0	0
16	괜찮은 거 같아요	0	0	0	0	0	0	0	0
17	쓰기가 편리합니다	0	0	0	0	0	0	0	0
18	편함 빠르고 좋고	0	0	0	0	0	0	0	0
19	할인 많이되서 좋아용	0	0	0	0	0	1	0	0
20	빠른 배송과 함께 제품상태도 좋습니다	1	0	1	0	0	0	0	0
21	저는 어플에 만족합니다~	0	0	0	0	0	0	0	0
22	물건이 필요 할때는 롯데온을 킵니다	1	0	0	0	0	0	0	0
23	너무 너무 좋음ㅠㅠ	0	0	0	0	0	0	0	0
24	이쁜 옷이 너무 많아요	0	0	0	0	0	0	0	0
25	쇼핑 어플중에서 가장 많이 이용하고 애정 있는 녀석 입니다 핫	1	0	0	0	0	0	0	0
26	반품이랑 교환도 빠르고 일처리가 매끄럽고 깔끔 하네요	1	0	0	0	1	0	0	0
27	필요한 걸 싸고 빠르게 구입 가능 하니까 너무 좋아요^^	1	0	0	0	0	0	0	0
28	잘 사용하고 있으요~~	1	0	0	0	0	0	0	0
29	제 취향의 상품이 많아서 만족합니다	1	0	0	0	0	0	0	0
30	쿠폰과 여러가지 혜택 때문에 저렴한 가격으로 이것저것 득템ㅎㅎㅎ	1	0	0	0	0	1	1	0
31	괜찮은듯요	0	0	0	0	0	0	0	0
32	배송짱!	0	0	1	0	0	0	0	0
33	득템 무야호!	0	0	0	0	0	0	0	0
34	잘 애용하고 있습니다	0	0	0	0	0	0	0	0
35	상품 선택의 폭이넓고, 저렴해서 잘 사용하고 있네여~~	1	0	0	0	0	0	0	0
36	아직까지 불편함은 못 찾았어요~	0	0	0	0	0	0	0	0
37	몇달째 여기에서만 사고 있는중인데 다른데 갈아 탈 생각이 없어요 ㅋ	0	0	0	0	0	0	0	0
38	내가 원하는 물건 검색하면 다 있어!! 없는게 없습니다	1	1	0	0	0	0	0	0
39	보기 좋게 되있어서 좋은거 같습니다	0	0	0	0	0	0	0	0
40	내 최애 어플 중 하나인 롯데온	0	0	0	0	0	0	0	0
41	넘 편하고 좋네요	0	0	0	0	0	0	0	0
42	전 쓸만한거 같아요 좀만 더 개선되면 좋겠지만 그래도 만족 입니다	0	1	0	0	0	0	0	0
43	덕분에 좋은 제품 많이 가져갑니다 무야호!	1	0	0	0	0	0	0	0
44	이번에 큰 맘 먹고 특가로 하나 구매 했어요 잘 산거 같습니다 ㅎㅎ	1	0	0	0	0	0	0	0
45	딸내미 옷 하나 사서 선물 해줬는데 너무 만족 하네요 ㅋ	0	0	0	0	0	0	0	0
46	물건 찾기가 쉽고, 주문도 쉽네요	1	1	0	0	0	0	0	0
47	쇼핑하기 넘 조아용~~^^	0	0	0	0	0	0	0	0
48	내 최애 어플 중 하나인 롯데온	0	0	0	0	0	0	0	0
49	좋아	0	0	0	0	0	0	0	0
50	아입ㅁ	0	0	0	0	0	0	0	0
51	Oled티비 쿠팡 옥션보다 싸게삼. 쿠팡저가는 죄다 인터넷 가입조건아니면 리퍼비시	0	1	0	0	0	0	1	0
52	쇼핑천국 쇼핑맛집:-)	0	0	0	0	0	0	0	0
53	오늘도 출첵!	0	0	0	0	0	0	1	0
54	합리적 가격으로 구매가 가능하네요	1	0	0	0	0	1	0	0
55	싸고 좋아요	0	0	0	0	0	0	0	0
56	긴말 필요 없습니다 좋습니다 끝	0	0	0	0	0	0	0	0
